grid_id,site_idx,departures,arrivals
928,0,815236,717661
834,1,616413,524580
1146,2,598596,538448
1138,3,554885,503112
932,4,573821,560402
490,5,419569,376907
925,6,817334,732156
783,7,377304,421013
1232,8,560685,549393
919,9,442440,454434
1067,10,286477,302091
1100,11,546601,557854
464,12,122740,138737
714,13,307583,320173
1213,14,91771,108626
1011,15,575310,658931
665,16,482127,493605
841,17,556004,556471
525,18,145673,162986
1569,19,171603,87908
1412,20,83267,121981
1399,21,359230,396869
1478,22,109803,174303
275,23,116983,165676
702,24,427284,424431
873,25,287648,317849
856,26,142792,136875
850,27,383082,429352
387,28,26975,37402
795,29,575833,604843
