grid_id,site_idx,departures,arrivals
172,0,22042,26851
925,1,796590,697809
1232,2,551839,460906
873,3,331381,260041
856,4,152823,133886
973,5,648512,564833
1140,6,600212,518018
794,7,817324,731968
464,8,112297,123559
834,9,614706,607349
402,10,305991,304128
1478,11,172833,184237
928,12,821158,828907
702,13,469322,431025
1004,14,368218,414657
1399,15,401156,391311
1058,16,418756,403610
525,17,158499,178588
850,18,442740,451905
1213,19,99989,113294
200,20,40378,58640
1105,21,355215,399472
579,22,491871,549765
1011,23,460655,468058
783,24,350287,448230
714,25,364220,432028
1412,26,83500,109568
967,27,439361,484692
1067,28,263936,316176
1187,29,419258,481558
