grid_id,site_idx,departures,arrivals
172,0,22073,26872
925,1,795923,698277
1232,2,551826,460900
873,3,331699,259689
856,4,153004,133689
973,5,649029,564635
1140,6,600315,518112
794,7,817566,732029
464,8,112303,123564
834,9,613910,606914
402,10,306404,303865
1478,11,173085,184209
928,12,820386,829230
702,13,469238,431685
1004,14,368421,414652
1399,15,401480,391162
1058,16,418396,404110
525,17,158591,178821
850,18,442631,452120
1213,19,100025,113338
200,20,40402,58693
1105,21,355384,399435
579,22,491612,550081
1011,23,460481,467909
783,24,350191,448121
714,25,364514,431658
1412,26,83656,109739
967,27,439841,483870
1067,28,263941,316110
1187,29,418742,481580
