grid_id,site_idx,departures,arrivals
217,0,24709,31005
882,1,1065419,924207
1276,2,460735,396799
917,3,433505,361004
855,4,167268,148742
931,5,618471,548523
1182,6,500687,418249
708,7,662981,618225
508,8,107372,119115
834,9,647835,618314
359,10,199206,224650
1435,11,183736,128640
885,12,745807,764014
659,13,488594,448521
1091,14,305691,355971
1398,15,345255,370126
1102,16,517524,472828
566,17,120237,139899
849,18,405145,425408
1296,19,44296,64814
196,20,46520,66279
1106,21,344246,381479
535,22,395711,430957
1013,23,776208,808661
783,24,370499,464283
672,25,267636,324090
1370,26,82782,106434
965,27,589087,638024
1068,28,224102,269250
1229,29,433805,506558
