grid_id,site_idx,departures,arrivals
217,0,27066,35553
882,1,1021715,982731
1276,2,507518,494060
917,3,394080,380871
855,4,170065,164012
931,5,603080,588651
1182,6,486333,464861
708,7,657976,637956
508,8,108405,120256
834,9,642763,607287
359,10,193607,218522
1435,11,164451,169459
885,12,722978,703490
659,13,531497,497755
1091,14,299613,320812
1398,15,407231,378706
1102,16,451212,444614
566,17,103370,119289
849,18,382354,389309
1296,19,60980,71840
196,20,49795,64277
1106,21,295004,319064
535,22,410698,419786
1013,23,838360,808624
783,24,378003,440571
672,25,342408,377045
1370,26,87426,103844
965,27,590066,591606
1068,28,258603,279399
1229,29,388412,380819
