compressed_bin_idx,timestamp,grid_ids
0,2015-04-01 00:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
1,2015-04-01 00:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
2,2015-04-01 01:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
3,2015-04-01 01:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
4,2015-04-01 02:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
5,2015-04-01 02:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
6,2015-04-01 03:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
7,2015-04-01 03:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
8,2015-04-01 04:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
9,2015-04-01 04:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
10,2015-04-01 05:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
11,2015-04-01 05:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
12,2015-04-01 06:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
13,2015-04-01 06:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
14,2015-04-01 07:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
15,2015-04-01 07:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
16,2015-04-01 08:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
17,2015-04-01 08:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
18,2015-04-01 09:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
19,2015-04-01 09:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
20,2015-04-01 10:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
21,2015-04-01 10:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
22,2015-04-01 11:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
23,2015-04-01 11:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
24,2015-04-01 12:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
25,2015-04-01 12:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
26,2015-04-01 13:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
27,2015-04-01 13:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
28,2015-04-01 14:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
29,2015-04-01 14:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
30,2015-04-01 15:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
31,2015-04-01 15:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
32,2015-04-01 16:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
33,2015-04-01 16:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
34,2015-04-01 17:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
35,2015-04-01 17:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
36,2015-04-01 18:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
37,2015-04-01 18:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
38,2015-04-01 19:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
39,2015-04-01 19:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
40,2015-04-01 20:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
41,2015-04-01 20:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
42,2015-04-01 21:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
43,2015-04-01 21:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
44,2015-04-01 22:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
45,2015-04-01 22:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
46,2015-04-01 23:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
47,2015-04-01 23:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
48,2015-04-02 00:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
49,2015-04-02 00:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
50,2015-04-02 01:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
51,2015-04-02 01:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
52,2015-04-02 02:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
53,2015-04-02 02:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
54,2015-04-02 03:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
55,2015-04-02 03:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
56,2015-04-02 04:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
57,2015-04-02 04:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
58,2015-04-02 05:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
59,2015-04-02 05:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
60,2015-04-02 06:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
61,2015-04-02 06:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
62,2015-04-02 07:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
63,2015-04-02 07:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
64,2015-04-02 08:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
65,2015-04-02 08:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
66,2015-04-02 09:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
67,2015-04-02 09:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
68,2015-04-02 10:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
69,2015-04-02 10:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
70,2015-04-02 11:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
71,2015-04-02 11:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
72,2015-04-02 12:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
73,2015-04-02 12:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
74,2015-04-02 13:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
75,2015-04-02 13:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
76,2015-04-02 14:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
77,2015-04-02 14:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
78,2015-04-02 15:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
79,2015-04-02 15:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
80,2015-04-02 16:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
81,2015-04-02 16:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
82,2015-04-02 17:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
83,2015-04-02 17:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
84,2015-04-02 18:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
85,2015-04-02 18:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
86,2015-04-02 19:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
87,2015-04-02 19:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
88,2015-04-02 20:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
89,2015-04-02 20:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
90,2015-04-02 21:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
91,2015-04-02 21:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
92,2015-04-02 22:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
93,2015-04-02 22:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
94,2015-04-02 23:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
95,2015-04-02 23:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
96,2015-04-03 00:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
97,2015-04-03 00:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
98,2015-04-03 01:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
99,2015-04-03 01:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
100,2015-04-03 02:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
101,2015-04-03 02:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
102,2015-04-03 03:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
103,2015-04-03 03:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
104,2015-04-03 04:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
105,2015-04-03 04:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
106,2015-04-03 05:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
107,2015-04-03 05:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
108,2015-04-03 06:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
109,2015-04-03 06:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
110,2015-04-03 07:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
111,2015-04-03 07:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
112,2015-04-03 08:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
113,2015-04-03 08:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
114,2015-04-03 09:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
115,2015-04-03 09:30:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
116,2015-04-03 10:00:00,"1320,843,1101,973,880,1011,834,1094,1147,662"
