compressed_bin_idx,timestamp,grid_ids
0,2015-04-01 00:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
1,2015-04-01 00:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
2,2015-04-01 01:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
3,2015-04-01 01:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
4,2015-04-01 02:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
5,2015-04-01 02:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
6,2015-04-01 03:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
7,2015-04-01 03:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
8,2015-04-01 04:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
9,2015-04-01 04:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
10,2015-04-01 05:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
11,2015-04-01 05:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
12,2015-04-01 06:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
13,2015-04-01 06:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
14,2015-04-01 07:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
15,2015-04-01 07:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
16,2015-04-01 08:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
17,2015-04-01 08:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
18,2015-04-01 09:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
19,2015-04-01 09:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
20,2015-04-01 10:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
21,2015-04-01 10:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
22,2015-04-01 11:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
23,2015-04-01 11:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
24,2015-04-01 12:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
25,2015-04-01 12:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
26,2015-04-01 13:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
27,2015-04-01 13:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
28,2015-04-01 14:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
29,2015-04-01 14:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
30,2015-04-01 15:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
31,2015-04-01 15:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
32,2015-04-01 16:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
33,2015-04-01 16:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
34,2015-04-01 17:00:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
35,2015-04-01 17:30:00,"217,882,1276,917,855,931,1182,708,508,834,359,1435,885,659,1091,1398,1102,566,849,1296,196,1106,535,1013,783,672,1370,965,1068,1229"
