hidden,embed_dim,n_layers,dropout,lr,weight_decay,batchsize,val_loss,n_params,time_s,R2,PCC,MAE
32,24,4,0.15,0.002,0.0001,32,0.1351121904121505,17018,11.2,0.9293636679649353,0.965142426920143,4.769906520843506
64,32,1,0.3,0.001,1e-05,128,0.1367034556137191,27682,3.1,0.9384781718254089,0.969059202208179,4.6705546379089355
64,32,3,0.3,0.0005,0.0001,32,0.13680488367875418,44322,8.7,0.9227282404899597,0.9637588182094948,4.857300281524658
96,32,1,0.05,0.001,1e-05,64,0.13713474571704865,49378,3.2,0.9302083253860474,0.9667617887364154,4.764830112457275
64,32,3,0.1,0.002,0.0001,32,0.1372568334142367,44322,4.2,0.929000735282898,0.9653954236606623,4.821209907531738
48,32,3,0.3,0.001,0.0001,64,0.13752906686729854,28546,6.9,0.9293084144592285,0.9642252469100316,4.779750347137451
48,24,4,0.2,0.002,1e-06,32,0.1376340612769127,31418,6.6,0.9326646327972412,0.9659333787141781,4.748467445373535
64,32,1,0.05,0.002,1e-06,32,0.13775258676873314,27682,4.1,0.9245039820671082,0.9626926623362939,4.857181072235107
48,24,2,0.15,0.001,1e-06,32,0.1377777573135164,22010,7.2,0.935510516166687,0.9677807476432315,4.709117412567139
64,24,1,0.3,0.001,0.0001,32,0.13789935327238506,25466,6.3,0.933114230632782,0.9667773809838854,4.722515106201172
32,32,4,0.3,0.002,1e-05,128,0.13821629103687075,18466,4.5,0.9364131093025208,0.9680492848277711,4.674301624298096
48,32,3,0.2,0.001,0.0001,128,0.1385334763262007,28546,4.0,0.9288023710250854,0.9650354947588218,4.770328044891357
48,16,1,0.3,0.002,0.0001,128,0.1387351875503858,15474,3.0,0.9315090179443359,0.9661620536485566,4.734052658081055
96,32,1,0.2,0.002,0.0001,64,0.13906676239437527,49378,2.6,0.9192313551902771,0.9609668941626023,4.900578498840332
96,8,4,0.15,0.0005,0.0001,64,0.13921094685792923,96298,6.1,0.9301975965499878,0.9661886329286844,4.799519062042236
64,24,4,0.1,0.0005,0.0001,64,0.13927974055210748,50426,6.9,0.9355510473251343,0.9677342490540408,4.700982570648193
48,16,1,0.2,0.0005,0.0001,32,0.13939780824714237,15474,9.2,0.9329344630241394,0.9666785444207415,4.739436149597168
48,24,2,0.1,0.0005,0.0001,64,0.1396743489636315,22010,5.9,0.9148918986320496,0.9609153444590698,4.872778415679932
48,24,3,0.1,0.0005,1e-05,64,0.13978081279330784,26714,6.9,0.9308288097381592,0.9652598963748641,4.741200923919678
32,32,1,0.15,0.0005,1e-06,32,0.13983256452613407,12130,9.0,0.9330295324325562,0.9665411627769246,4.8064045906066895
96,32,1,0.15,0.002,1e-05,64,0.13989073700375027,49378,10.8,0.9328310489654541,0.967472080050063,4.768526554107666
96,8,3,0.05,0.0005,0.0001,32,0.13999762303299373,77674,6.4,0.9322777390480042,0.966115051434645,4.78119421005249
48,24,1,0.05,0.002,1e-05,64,0.1400399539205763,17306,3.8,0.9304404258728027,0.9672130580139326,4.778994083404541
64,16,1,0.3,0.001,0.0001,128,0.14025972452428606,23250,3.1,0.9309279322624207,0.9655836841623913,4.774135112762451
32,8,1,0.1,0.002,0.0001,32,0.14027798258595997,7786,8.9,0.9283379912376404,0.9647955227927036,4.821915149688721
32,8,4,0.3,0.001,0.0001,32,0.14032127294275495,14122,14.0,0.9289216995239258,0.9648299755856027,4.840366840362549
32,16,4,0.05,0.001,0.0001,32,0.14038948052459294,15570,10.2,0.9251388311386108,0.9658795691597174,4.817193508148193
96,32,3,0.05,0.002,1e-06,32,0.14058214177687964,86626,3.6,0.9276386499404907,0.9650850783267644,4.837021827697754
96,16,2,0.05,0.002,1e-06,32,0.14073384635978275,62034,3.6,0.91301029920578,0.9585632220330562,4.9300856590271
48,8,4,0.2,0.001,1e-06,32,0.14193245520194372,27754,10.6,0.9362083077430725,0.9679781382019055,4.771589756011963
64,16,2,0.05,0.002,1e-05,32,0.14217385235759947,31570,4.8,0.903895914554596,0.9589807902037634,5.057433605194092
96,8,4,0.1,0.002,0.0001,32,0.14219138026237488,96298,5.6,0.9248016476631165,0.9620954144812278,4.932988166809082
96,8,3,0.05,0.002,1e-05,32,0.14241043892171648,77674,4.2,0.9140836000442505,0.9596415642736174,4.903613567352295
48,24,2,0.1,0.0005,1e-06,128,0.142419357266691,22010,3.6,0.9198496341705322,0.9612536564607852,4.927207946777344
32,16,2,0.1,0.0005,0.0001,64,0.14336365709702173,11346,5.9,0.9056259989738464,0.9522947485589864,4.986633777618408
64,8,3,0.3,0.0005,1e-05,128,0.14379430645041996,37674,4.1,0.9169483184814453,0.9586384113793899,4.939086437225342
32,8,3,0.3,0.001,1e-06,64,0.14429469820525911,12010,6.8,0.9158140420913696,0.9577217443692552,4.8549275398254395
64,8,3,0.3,0.0005,0.0001,128,0.14431069377395842,37674,4.1,0.9147710800170898,0.9577255122102436,4.9296088218688965
32,8,4,0.1,0.001,1e-05,128,0.1458224058151245,14122,4.5,0.9218012690544128,0.9606487690556448,4.872814655303955
32,8,1,0.1,0.0005,0.0001,128,0.15297948320706686,7786,3.0,0.899116575717926,0.9492245313288508,5.083331108093262
