time_step,met_demand,unmet_fleet_insufficient,unmet_away_flying,unmet_insufficient_battery,real_unmet_demand,real_assignment_ratio
0,1558,0.0,0.0,0.0,0.0,1.0
1,1851,12.457075154080108,0.0,0.0,12.457075154080108,0.9933150726570666
2,1189,0.0,0.0,0.0,0.0,1.0
3,1163,14.753083754483296,0.0,0.0,14.753083754483296,0.9874735341745379
4,626,0.0,0.0,0.0,0.0,1.0
5,607,0.0,0.0,0.0,0.0,1.0
6,328,0.0,0.0,0.0,0.0,1.0
7,342,0.0,0.0,0.0,0.0,1.0
8,297,0.0,0.0,0.0,0.0,1.0
9,304,0.0,0.0,0.0,0.0,1.0
10,815,3.2159273288213823,0.0,0.0,3.2159273288213823,0.9960695860085244
11,797,1.294714382432541,0.0,0.0,1.294714382432541,0.998378149874844
12,1840,30.226161710031807,0.0,0.0,30.226161710031807,0.9838382317984501
13,1890,0.0,0.0,0.0,0.0,1.0
14,2657,27.44309916242529,0.0,0.0,27.44309916242529,0.9897769860828908
15,2676,0.0,0.0,0.0,0.0,1.0
16,3026,0.0,0.0,0.0,0.0,1.0
17,3010,0.0,0.0,0.0,0.0,1.0
18,3491,0.0,0.0,0.0,0.0,1.0
19,3480,0.0,0.0,0.0,0.0,1.0
20,3430,0.0,0.0,0.0,0.0,1.0
21,3438,0.0,0.0,0.0,0.0,1.0
22,3277,0.0,0.0,0.0,0.0,1.0
23,3291,0.0,0.0,0.0,0.0,1.0
24,3328,14.320662091999514,0.0,0.0,14.320662091999514,0.9957153536300625
25,3343,0.0,0.0,0.0,0.0,1.0
26,3720,2.2362006792798117,0.0,0.0,2.2362006792798117,0.9993992319243815
27,3689,3.304177502749713,0.0,0.0,3.304177502749713,0.9991051177411433
28,3705,0.0,0.0,0.0,0.0,1.0
29,3671,4.06682931963776,1.7727218405767586,0.0,5.839551160214519,0.9984118014727155
30,3533,3.700767454242828,28.327131307661595,0.0,32.027898761904424,0.9910160874833469
31,3540,46.7957499195288,34.459150716162455,0.0,81.25490063569126,0.9775616732692782
32,3411,10.479821410925616,19.03504264612112,0.0,29.514864057046736,0.9914213816177957
33,3319,30.011821021912144,105.26946953697966,0.0,135.2812905588918,0.9608366316522522
34,3203,3.4073187929353703,7.102758658320294,0.0,10.510077451255665,0.9967294089024324
35,3057,1.0211036891253256,65.9102615899894,0.0,66.93136527911473,0.9785746364267083
36,3058,0.0,22.368392430926857,0.0,22.368392430926857,0.9927384034695687
37,2953,37.65521690841762,35.4500771193335,0.0,73.10529402775111,0.9758417877355327
38,3104,170.7112489338869,81.25856029753078,0.0,251.96980923141768,0.9249189284902645
39,3363,101.45780643024698,15.622891381524555,0.0,117.08069781177153,0.9663569014691554
40,3375,134.23486891940297,34.862326628188846,0.0,169.0971955475918,0.9522876529007087
41,3254,323.1410886865245,21.940415902993312,0.0,345.0815045895178,0.9041195637971875
42,3337,320.55082483410786,71.22268846372806,0.0,391.7735132978359,0.8949323385020133
43,3308,428.60425217480906,22.96101223834081,0.0,451.56526441314986,0.879888967831594
44,3125,385.8949632462752,4.277504351778337,0.0,390.1724675980536,0.8890033216877516
45,3048,418.34304031928826,1.4925492963572573,0.0,419.8355896156455,0.878934401944304
46,2594,303.4935881247455,0.0,0.0,303.4935881247455,0.8952565108794024
47,2664,138.45259525918868,5.268580537533566,0.0,143.72117579672226,0.9488121623202347
48,1936,86.70695485776481,0.0,0.0,86.70695485776481,0.957133209707156
49,1957,26.60093361374066,0.0,0.0,26.60093361374066,0.9865895739596781
50,1205,0.0449093200801448,0.0,0.0,0.0449093200801448,0.9999627322436426
51,1166,0.0,0.0,0.0,0.0,1.0
52,604,0.0,0.0,0.0,0.0,1.0
53,635,0.0,0.0,0.0,0.0,1.0
54,339,0.0,0.0,0.0,0.0,1.0
55,328,0.0,0.0,0.0,0.0,1.0
56,283,0.0,0.0,0.0,0.0,1.0
57,306,0.0,0.0,0.0,0.0,1.0
58,812,5.36512576134238,0.0,0.0,5.36512576134238,0.9934360720903709
59,815,1.7525503144499992,0.0,0.0,1.7525503144499992,0.9978542456784797
60,1821,59.41131105872132,0.0,0.0,59.41131105872132,0.9684051511978667
61,1901,27.18576589293666,0.0,0.0,27.18576589293666,0.985900857493185
62,2685,26.99774349602779,0.0,0.0,26.99774349602779,0.9900450715489073
63,2673,20.54685729557094,1.1708646430606668,0.0,21.71772193863161,0.9919406319401026
64,2947,31.40540348192605,58.37572779380677,0.0,89.78113127573282,0.9704354290300743
65,3019,56.15604630033228,41.94084223219323,0.0,98.09688853252551,0.9685294066753543
66,3335,151.1066683258567,146.58859919894826,0.0,297.695267524805,0.9180511312946863
67,3609,84.4291592895792,62.096397105903854,0.0,146.52555639548305,0.9609840076454927
68,3475,87.98874515837922,8.577765088386585,0.0,96.5665102467658,0.9729624213997645
69,3446,46.21899936931729,34.6486945690717,0.0,80.86769393838898,0.9770709590049619
70,3318,19.675679242152867,13.011211790360049,0.0,32.68689103251292,0.9902447193379981
71,3251,37.850391693437146,24.742018525908843,0.0,62.59241021934599,0.9811104075364531
72,3268,111.16672262770396,53.265715517952245,0.0,164.4324381456562,0.9520944866042317
73,3374,105.89265475936904,24.454080533789547,0.0,130.3467352931586,0.9628042699141601
74,3554,188.83679871545831,107.3013980592341,0.0,296.1381967746924,0.9230837487800383
75,3739,171.54949125919882,94.22933877891116,0.0,265.77883003810996,0.9336345797564105
76,3760,94.4331865975752,81.78006355009781,0.0,176.21325014767302,0.9552327988985195
77,3645,78.66407023468761,127.43592593218506,0.0,206.09999616687267,0.9464828240315726
78,3666,58.97616935805767,34.89910845008479,0.8640776370517712,94.73935544519422,0.9748083165327529
79,3531,74.13598821701801,48.81800210214116,3.0,125.95399031915917,0.9655576770578493
80,3449,21.138687566240048,25.69263517589903,3.723970926043093,50.55529366818217,0.9855537948608348
81,3296,28.75845200693849,114.89774419931382,15.323978229753925,158.98017443600622,0.9539852136888287
82,3214,3.2609492740963004,18.004094881836323,7.990820720586681,29.255864876519304,0.9909794767679752
83,3052,8.706352503453962,80.79476731829702,21.51286994371766,111.01398976546864,0.9649024664055628
84,3061,25.346336819168872,18.83626143145424,7.258392659627107,51.44099091025022,0.9834724606633567
85,2966,55.23416723396161,43.58830310839955,1.0,99.82247034236116,0.9674402313545526
86,3087,178.99586976801396,80.5902658586564,1.6110753501502115,261.19721097682054,0.9219887018242222
87,3354,151.365924670831,2.417173262904437,0.0,153.78309793373543,0.9561594620761125
88,3286,269.78881752293915,53.82625718287868,0.0,323.61507470581785,0.9103463754422091
89,3333,367.6019718763663,43.81134831213182,0.0,411.4133201884981,0.890126093193209
90,3377,341.69005976747314,52.64432302923456,0.0,394.3343827967077,0.8954390295924167
91,3276,479.7089358245153,23.43542617637857,1.7095234991570374,504.853885500051,0.8664709346647286
92,3260,262.602290277105,14.092197182761431,5.0,281.6944874598664,0.9204633577353251
93,3259,91.76198410671684,0.0,0.0,91.76198410671684,0.9726145919817759
94,2568,18.89366715801526,0.0,0.0,18.89366715801526,0.9926963881825216
95,2474,56.07379980601871,0.0,0.0,56.07379980601871,0.9778370892539507
96,1914,12.803366908137868,0.0,0.0,12.803366908137868,0.9933551253189459
97,1901,9.035346783859136,0.0,0.0,9.035346783859136,0.9952695394883279
98,1179,1.009796329861738,0.0,0.0,1.009796329861738,0.9991442475028577
99,1178,1.7509971948907652,0.0,0.0,1.7509971948907652,0.9985157908753168
100,613,0.0,0.0,0.0,0.0,1.0
101,623,0.0,0.0,0.0,0.0,1.0
102,332,0.0,0.0,0.0,0.0,1.0
103,331,0.0,0.0,0.0,0.0,1.0
104,298,0.0,0.0,0.0,0.0,1.0
105,310,0.0,0.0,0.0,0.0,1.0
106,822,0.0,0.0,0.0,0.0,1.0
107,803,1.2103862464674444,0.0,0.0,1.2103862464674444,0.9984949383057377
108,1835,66.4507737019336,0.0,0.0,66.4507737019336,0.9650525931983185
109,1906,12.42912439043702,0.0,0.0,12.42912439043702,0.9935211969874643
110,2654,30.246090184785484,0.0,0.0,30.246090184785484,0.9887319980476518
111,2683,23.10087283671156,1.1940764731281297,0.0,24.29494930983969,0.9910261165610962
112,2998,9.061802825289211,38.93922240872726,0.0,48.001025234016474,0.98424129708547
113,2998,35.10759914732895,33.75472135813162,0.0,68.86232050546056,0.977546328035322
114,3312,153.96250427033274,116.1966542875549,0.0,270.1591585578876,0.9245820337400505
115,3648,39.87445428120691,53.95735735808798,0.0,93.8318116392949,0.9749235624788312
116,3439,65.30641959404888,17.440810108971867,0.0,82.74722970302074,0.976503927083376
117,3430,47.865899797290375,33.8806553213688,0.0,81.74655511865917,0.9767219661682285
118,3330,35.83562369835798,2.9898676088779457,0.0,38.82549130723592,0.9884750660408443
119,3232,48.49199301802475,38.39287405130438,0.0,86.88486706932913,0.9738210662468533
120,3279,135.6604919642893,38.6462354885158,0.0,174.3067274528051,0.9495246900406742
121,3386,96.60003407899582,15.732919783601986,0.0,112.3329538625978,0.9678895761655368
122,3571,220.52487113561125,90.739025815191,0.0,311.26389695080223,0.9198241270524463
123,3690,184.40171884235912,116.2042507223496,0.0,300.60596956470874,0.924671598284233
124,3783,78.78356299572327,93.40146844023836,0.0,172.18503143596163,0.956465998412861
125,3654,84.30501715617065,136.07191974563997,0.0,220.3769369018106,0.9431193865514703
126,3658,46.12656665791713,42.85076846473025,0.0,88.97733512264739,0.9762535699672881
127,3511,73.96097905854913,53.44772278962611,3.0,130.40870184817524,0.9641872932906469
128,3477,9.226554543348906,42.93010161062262,0.0,52.156656153971525,0.9852212125344384
129,3278,38.23557974194456,121.42281706237944,2.518679220104657,162.17707602442866,0.9528579278215977
130,3228,1.9810687004737144,11.15345074510275,5.684749037540562,18.81926848311703,0.9942037831714886
131,3053,8.209406644367203,66.2065523233998,6.075392966085103,80.49135193385212,0.9743125661144154
132,3049,9.579662815410066,22.459105612597227,8.655913246869464,40.69468167487676,0.9868288986881976
133,2975,46.0800043907156,29.96741983108308,1.0,77.04742422179868,0.9747554957336733
134,3081,180.1897161951607,100.75834305174578,1.0,281.9480592469065,0.9161604478333676
135,3346,173.99192905101285,4.593676565146447,0.0,178.58560561615928,0.9493314603193077
136,3337,234.9338791186922,21.564036996371826,0.0,256.497916115064,0.928621659980712
137,3298,333.0248014851388,55.31111698386994,0.0,388.3359184690088,0.8946553089414894
138,3332,384.70394089236606,49.60108459919937,0.0,434.3050254915654,0.8846867095065193
139,3349,448.1873743926584,16.70738529045105,0.0,464.89475968310944,0.8781049848051558
140,3204,297.4440781993742,6.698001961489275,0.0,304.1420801608635,0.9133039445919713
141,2974,408.00486742859295,11.163458707451175,0.0,419.16832613604413,0.8764669813438433
142,2612,272.50645807458045,0.0,0.0,272.50645807458045,0.9055275271401266
143,2724,63.31366339377092,0.0,0.0,63.31366339377092,0.9772850597242502
144,2302,0.0,0.0,0.0,0.0,1.0
145,2217,39.64011631900225,0.0,0.0,39.64011631900225,0.9824340106194414
146,1499,7.15196170360385,0.0,0.0,7.15196170360385,0.9952515005886164
147,1489,27.56222780687906,0.0,0.0,27.56222780687906,0.9818258510587217
148,906,0.0,0.0,0.0,0.0,1.0
149,905,0.0,0.0,0.0,0.0,1.0
150,483,0.0,0.0,0.0,0.0,1.0
151,504,0.0,0.0,0.0,0.0,1.0
152,401,0.0,0.0,0.0,0.0,1.0
153,411,0.0,0.0,0.0,0.0,1.0
154,850,0.0,0.0,0.0,0.0,1.0
155,862,0.0,0.0,0.0,0.0,1.0
156,1328,11.660320940842926,0.0,0.0,11.660320940842926,0.9912960615772707
157,1316,0.0,0.0,0.0,0.0,1.0
158,1839,22.63553531301812,0.0,0.0,22.63553531301812,0.9878410489681525
159,1877,0.0,0.0,0.0,0.0,1.0
160,2517,64.70604833714283,0.0,0.0,64.70604833714283,0.9749367096308972
161,2569,38.333061932611386,0.0,0.0,38.333061932611386,0.9852979803415686
162,2869,55.41649403162393,0.0,0.0,55.41649403162393,0.981050409835698
163,2890,19.61313988036089,11.215393612499488,0.0,30.82853349286038,0.9894452778931209
164,2963,43.41468724288921,17.19072520908813,0.0,60.60541245197734,0.9799559121694951
165,2965,56.552745927651,13.633210615259353,0.0,70.18595654291036,0.9768758957283618
166,3028,67.26805147354526,33.6565934868549,0.0,100.92464496040016,0.9677446227019387
167,3069,80.72449361515991,7.756812169888196,0.0,88.48130578504811,0.9719772511010801
168,3154,104.32748379647305,64.06833811502909,0.0,168.39582191150214,0.9493149429092956
169,3221,127.8298896409987,38.18049716428776,0.0,166.01038680528646,0.9509861595193182
170,3398,151.69398546562056,33.63002732207123,0.0,185.3240127876918,0.9482815363259555
171,3397,122.70131262254206,83.33432391760246,0.0,206.03563654014454,0.9428160980561401
172,3458,120.97099226828448,19.931790215107988,0.0,140.90278248339246,0.9608484054725802
173,3378,78.10650383662777,68.46263126313424,0.0,146.569135099762,0.9584150205367972
174,3295,80.6615916766809,7.0869434964481375,0.0,87.74853517312904,0.9740599887160581
175,3226,71.08445038217532,40.88938152857385,0.0,111.97383191074917,0.9664545507096884
176,3261,98.80344251327332,9.54822526545129,0.0,108.35166777872462,0.967841983128417
177,3229,86.86730789793936,12.202905492689538,0.0,99.0702133906289,0.9702319341124428
178,3284,76.6553549464112,43.36630222300606,0.0,120.02165716941725,0.9647412181069317
179,3270,111.03169540554586,7.628541724415029,0.0,118.66023712996089,0.9649831411748554
180,3148,42.37283191576061,0.1557156003889055,0.0,42.52854751614951,0.9866703754933464
181,3049,56.00553583435431,4.748159015559812,0.0,60.753694849914126,0.9804635026399265
182,3067,86.8924987789981,7.08833763608774,0.0,93.98083641508585,0.9702684573938541
183,3066,159.54541615835183,9.347258923702991,0.0,168.8926750820548,0.9477903312270567
184,3075,291.60727865949985,17.39250973756367,0.0,308.9997883970635,0.9086880000830523
185,3142,344.0035453517012,21.7677983895492,0.0,365.77134374125035,0.8957254313643109
186,3194,222.5686269233289,8.466225410518405,0.0,231.0348523338473,0.9325452550719541
187,3004,253.0639149521964,9.07689121226981,0.0,262.1408061644662,0.9197398943518585
188,2785,235.4221927359426,2.1279303221678134,0.0,237.5501230581104,0.9214073833727643
189,2664,326.5737788122815,2.521430352175848,2.0,331.09520916445734,0.889454195595731
190,2411,131.2554904452752,7.241729067951304,0.0,138.4972195132265,0.94567665402684
191,2139,237.2190667479718,0.0,0.0,237.2190667479718,0.9001695297931334
192,2380,75.27712209059416,0.0,2.153191901157294,77.43031399175146,0.9684913490523454
193,2206,126.28939306397908,0.0,0.0,126.28939306397908,0.9458517483123868
194,1586,13.718169839099067,0.0,0.0,13.718169839099067,0.9914246333524618
195,1495,20.977399375128652,0.0,0.0,20.977399375128652,0.986162459028891
196,911,0.0,0.0,0.0,0.0,1.0
197,893,0.0,0.0,0.0,0.0,1.0
198,508,0.0,0.0,0.0,0.0,1.0
199,482,0.0,0.0,0.0,0.0,1.0
200,416,0.0,0.0,0.0,0.0,1.0
201,396,0.0,0.0,0.0,0.0,1.0
202,856,0.0,0.0,0.0,0.0,1.0
203,851,0.0,0.0,0.0,0.0,1.0
204,1339,0.0,0.0,0.0,0.0,1.0
205,1324,10.63416354912308,0.0,0.0,10.63416354912308,0.9920321509522548
