idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand,cluster_label,cluster_n_cells,cluster_total_demand
275,275,31.0789,121.3977,1331.719944215973,1495.434854034814,2827.1547982507877,0,129,48352.36639104941
928,928,31.2289,121.4777,44563.09514585231,43467.33576676963,88030.43091262195,1,14,495571.96905430226
873,873,31.2189,121.3577,14936.495782239128,11081.671168180575,26018.166950419705,2,33,302362.49963803176
1140,1140,31.2789,121.4477,14585.417211358488,12523.699295331277,27109.116506689763,3,32,302890.3767566376
1067,1067,31.2589,121.5777,5981.271160801057,5752.498983134675,11733.770143935732,4,50,172676.25264393864
752,752,31.1889,121.4377,22047.88325405839,20219.96293499849,42267.84618905688,5,17,345086.69623285136
1401,1401,31.3389,121.4777,3863.7956105339535,3991.421424996237,7855.21703553019,6,67,68251.11629618179
464,464,31.1189,121.5677,2470.5375382614725,2913.56450113462,5384.102039396093,7,183,66143.20440150886
790,790,31.1989,121.3877,15840.142098555478,15568.171223367764,31408.31332192324,8,28,367571.52710024436
834,834,31.2089,121.3977,36205.55866618271,29966.46636427137,66172.02503045408,9,16,454076.42011394614
1146,1146,31.2789,121.5077,16890.481469627135,14513.918913878522,31404.400383505657,10,21,294395.5329313564
614,614,31.158900000000003,121.3477,7117.138036927179,5842.195372629788,12959.333409556966,11,51,118338.71411267549
1550,1550,31.3789,121.2477,624.9153749657422,455.23856218521706,1080.153937150959,12,123,18326.61969653483
933,933,31.2289,121.5277,16566.620423336368,14726.819409113465,31293.439832449832,13,35,315354.1707786436
1478,1478,31.3589,121.3877,1905.4289712443815,14095.636983837489,16001.065955081873,14,89,100849.98327054112
1232,1232,31.2989,121.5077,27187.60555845141,22139.57739654519,49327.182954996606,15,34,329042.4752884006
490,490,31.1289,121.3977,11264.4918732716,7995.960484306414,19260.45235757801,16,56,186206.2651428381
795,795,31.1989,121.4377,34335.76041130814,30582.922078760497,64918.68249006863,17,15,556421.5318829374
714,714,31.1789,121.4877,10481.16052174059,9503.69429495092,19984.85481669151,18,58,212854.05311635858
783,783,31.1989,121.3177,57954.30250269655,94214.80909626454,152169.11159896108,19,97,354870.58965956327
854,854,31.2089,121.5977,4914.6074915107765,4447.747791248228,9362.355282759005,20,58,109953.59889582005
1399,1399,31.3389,121.4577,10636.176879637227,7511.937350738293,18148.11423037552,21,36,214104.81880521902
433,433,31.1189,121.2577,1108.857508722241,654.4915107061001,1763.349019428341,22,146,25896.26168704161
971,971,31.2389,121.4777,38608.50229337574,32023.895183366985,70632.39747674273,23,14,454706.36413102126
925,925,31.2289,121.4477,53948.14440647666,49444.858931190895,103393.00333766756,24,15,628589.7964254158
955,955,31.2389,121.3177,3364.573973215432,3148.6112496177234,6513.185222833155,25,84,63078.8041476306
622,622,31.158900000000003,121.4277,10012.86013117745,17601.081464682262,27613.94159585971,26,38,221603.64814238032
973,973,31.2389,121.4977,31817.88365908709,31674.570699519478,63492.45435860656,27,15,352957.9286431274
1412,1412,31.3389,121.5877,1759.057457745114,11753.01120864775,13512.068666392865,28,100,64395.23616471913
1187,1187,31.2889,121.4877,13205.426959645036,13351.99851896948,26557.42547861452,29,22,296368.4682881622
